Week,Bitcoin: (Worldwide)
4/2/2017,5
4/9/2017,5
4/16/2017,5
4/23/2017,5
4/30/2017,7
5/7/2017,10
5/14/2017,11
5/21/2017,19
5/28/2017,12
6/4/2017,12
6/11/2017,13
6/18/2017,11
6/25/2017,11
7/2/2017,9
7/9/2017,10
7/16/2017,12
7/23/2017,11
7/30/2017,15
8/6/2017,14
8/13/2017,20
8/20/2017,16
8/27/2017,17
9/3/2017,18
9/10/2017,21
9/17/2017,16
9/24/2017,13
10/1/2017,12
10/8/2017,19
10/15/2017,19
10/22/2017,20
10/29/2017,28
11/5/2017,29
11/12/2017,31
11/19/2017,27
11/26/2017,66
12/3/2017,92
12/10/2017,85
12/17/2017,100
12/24/2017,64
12/31/2017,47
1/7/2018,46
1/14/2018,57
1/21/2018,38
1/28/2018,40
2/4/2018,48
2/11/2018,27
2/18/2018,24
2/25/2018,19
3/4/2018,19
3/11/2018,19
3/18/2018,18
3/25/2018,18
4/1/2018,17
